old_label,label,date
hCoV-19/Australia/NSW250/2020|EPI_ISL_451515|2020-03-29|2,hCoV-19/Australia/NSW250/2020|EPI_ISL_451515|2020-03-29|2,2020-03-29
hCoV-19/Spain/MD-IBV-003657/2020|EPI_ISL_467239|2020-04-01|1,hCoV-19/Spain/MD-IBV-003657/2020|EPI_ISL_467239|2020-04-01|1,2020-04-01
hCoV-19/Spain/MD-IBV-003658/2020|EPI_ISL_467250|2020-04-01|1,hCoV-19/Spain/MD-IBV-003658/2020|EPI_ISL_467250|2020-04-01|1,2020-04-01
hCoV-19/India/GJ-GBRC322a/2020|EPI_ISL_500949|2020-06-17|1,hCoV-19/India/GJ-GBRC322a/2020|EPI_ISL_500949|2020-06-17|1,2020-06-17
hCoV-19/SaudiArabia/KAUST-MADINAH688/2020|EPI_ISL_513178|2020-05-08|1,hCoV-19/SaudiArabia/KAUST-MADINAH688/2020|EPI_ISL_513178|2020-05-08|1,2020-05-08
hCoV-19/UnitedArabEmirates/1012/2020|EPI_ISL_699144|2020-06-11|1,hCoV-19/UnitedArabEmirates/1012/2020|EPI_ISL_699144|2020-06-11|1,2020-06-11
hCoV-19/Canada/MB-NML-652/2020|EPI_ISL_632931|2020-03-12|19,hCoV-19/Canada/MB-NML-652/2020|EPI_ISL_632931|2020-03-12|19,2020-03-12
hCoV-19/Australia/NSW228/2020|EPI_ISL_451494|2020-03-29|2,hCoV-19/Australia/NSW228/2020|EPI_ISL_451494|2020-03-29|2,2020-03-29
hCoV-19/USA/NY-PV09411/2020|EPI_ISL_450091|2020-03-11|3,hCoV-19/USA/NY-PV09411/2020|EPI_ISL_450091|2020-03-11|3,2020-03-11
hCoV-19/USA/WY-WYPHL001/2020|EPI_ISL_421272|2020-03-10|2,hCoV-19/USA/WY-WYPHL001/2020|EPI_ISL_421272|2020-03-10|2,2020-03-10
hCoV-19/Mali/M002616/2020|EPI_ISL_487448|2020-04-06|2,hCoV-19/Mali/M002616/2020|EPI_ISL_487448|2020-04-06|2,2020-04-06
hCoV-19/Australia/NSW207/2020|EPI_ISL_427807|2020-03-21|3,hCoV-19/Australia/NSW207/2020|EPI_ISL_427807|2020-03-21|3,2020-03-21
hCoV-19/Peru/LIM-INS-011/2020|EPI_ISL_489988|2020-03-11|2,hCoV-19/Peru/LIM-INS-011/2020|EPI_ISL_489988|2020-03-11|2,2020-03-11
hCoV-19/Australia/NSW559/2020|EPI_ISL_455098|2020-03-22|2,hCoV-19/Australia/NSW559/2020|EPI_ISL_455098|2020-03-22|2,2020-03-22
hCoV-19/Australia/NSW212/2020|EPI_ISL_427671|2020-03-21|2,hCoV-19/Australia/NSW212/2020|EPI_ISL_427671|2020-03-21|2,2020-03-21
hCoV-19/Peru/LIM-INS-025/2020|EPI_ISL_491430|2020-03-24|3,hCoV-19/Peru/LIM-INS-025/2020|EPI_ISL_491430|2020-03-24|3,2020-03-24
hCoV-19/USA/OR-UW-1887/2020|EPI_ISL_424308|2020-03-22|3,hCoV-19/USA/OR-UW-1887/2020|EPI_ISL_424308|2020-03-22|3,2020-03-22
hCoV-19/Tianmen/HBCDC-HB-07/2020|EPI_ISL_412983|2020-02-08|1,hCoV-19/Tianmen/HBCDC-HB-07/2020|EPI_ISL_412983|2020-02-08|1,2020-02-08
hCoV-19/Japan/NGY-NNH-002/2020|EPI_ISL_568557|2020-03-20|1,hCoV-19/Japan/NGY-NNH-002/2020|EPI_ISL_568557|2020-03-20|1,2020-03-20
hCoV-19/Japan/PG-0379/2020|EPI_ISL_480049|2020-02-26|1,hCoV-19/Japan/PG-0379/2020|EPI_ISL_480049|2020-02-26|1,2020-02-26
hCoV-19/Japan/PG-0303/2020|EPI_ISL_479979|2020-03-02|2,hCoV-19/Japan/PG-0303/2020|EPI_ISL_479979|2020-03-02|2,2020-03-02
hCoV-19/Japan/PG-0415/2020|EPI_ISL_480083|2020-03-25|7,hCoV-19/Japan/PG-0415/2020|EPI_ISL_480083|2020-03-25|7,2020-03-25
hCoV-19/Japan/PG-0374/2020|EPI_ISL_480044|2020-02-22|1,hCoV-19/Japan/PG-0374/2020|EPI_ISL_480044|2020-02-22|1,2020-02-22
hCoV-19/Japan/PG-0448/2020|EPI_ISL_480111|2020-03-21|1,hCoV-19/Japan/PG-0448/2020|EPI_ISL_480111|2020-03-21|1,2020-03-21
hCoV-19/Japan/PG-0392/2020|EPI_ISL_480061|2020-03-06|1,hCoV-19/Japan/PG-0392/2020|EPI_ISL_480061|2020-03-06|1,2020-03-06
hCoV-19/Japan/NGY-NNH-022/2020|EPI_ISL_636989|2020-03-13|1,hCoV-19/Japan/NGY-NNH-022/2020|EPI_ISL_636989|2020-03-13|1,2020-03-13
hCoV-19/Japan/PG-0372/2020|EPI_ISL_480042|2020-02-15|30,hCoV-19/Japan/PG-0372/2020|EPI_ISL_480042|2020-02-15|30,2020-02-15
hCoV-19/Japan/PG-0307/2020|EPI_ISL_479982|2020-03-21|1,hCoV-19/Japan/PG-0307/2020|EPI_ISL_479982|2020-03-21|1,2020-03-21
hCoV-19/Japan/PG-0375/2020|EPI_ISL_480045|2020-02-22|1,hCoV-19/Japan/PG-0375/2020|EPI_ISL_480045|2020-02-22|1,2020-02-22
hCoV-19/Japan/PG-0446/2020|EPI_ISL_480110|2020-03-19|1,hCoV-19/Japan/PG-0446/2020|EPI_ISL_480110|2020-03-19|1,2020-03-19
hCoV-19/England/CAMB-7763F/2020|EPI_ISL_439478|2020-03-31|1,hCoV-19/England/CAMB-7763F/2020|EPI_ISL_439478|2020-03-31|1,2020-03-31
hCoV-19/Shangrao/JX105/2020|EPI_ISL_421239|2020-01-26|1,hCoV-19/Shangrao/JX105/2020|EPI_ISL_421239|2020-01-26|1,2020-01-26
hCoV-19/USA/IL1/2020|EPI_ISL_404253|2020-01-21|1,hCoV-19/USA/IL1/2020|EPI_ISL_404253|2020-01-21|1,2020-01-21
hCoV-19/Singapore/12/2020|EPI_ISL_414378|2020-02-17|1,hCoV-19/Singapore/12/2020|EPI_ISL_414378|2020-02-17|1,2020-02-17
hCoV-19/Singapore/14/2020|EPI_ISL_414380|2020-02-13|8,hCoV-19/Singapore/14/2020|EPI_ISL_414380|2020-02-13|8,2020-02-13
