month	International	domestic	total seq
2020-02-01	4166348	9804039	13970387 1
2020-03-01	4166348	9804039	13970387 1
2020-03-01	2505989	9062062	11568051 122
2020-04-01	2505989	9062062	11568051 122
2020-04-01	30421	1439595	1470016 198
2020-05-01	30421	1439595	1470016 198
2020-05-01	48884	1844680	1893564 197
2020-06-01	48884	1844680	1893564 197
2020-06-01	69595	5590072	5659667 196
2020-07-01	69595	5590072	5659667 196
2020-07-01	110828	13375695	13486523 119
2020-08-01	110828	13375695	13486523 119
2020-08-01	912802	17118044	18030846 448
2020-09-01	912802	17118044	18030846 448 
2020-09-01	1522682	14952017	16474699 779
2020-10-01	1522682	14952017	16474699 779
2020-10-01	1430024	11237832	12667856 515
2020-11-01	1430024	11237832	12667856 515
2020-11-01	720836	8287606	9008442 350
2020-12-01	720836	8287606	9008442 350


