Full_name_in_ali	GISAID_name	Date	Seq_source	FMBA_ID	Country	Region_from_meta	Pangolin_clade	GISAID_clade	NL_NAME	Lineage
hCoV-19/Russia/AD-RII-MH1684S/2020|EPI_ISL_596315|2020-09-09|1	Russia/AD-RII-MH1684S/2020	2020-09-09	NA	NA	Russia	Adygea	B.1.1	NA	Республика Адыгея	NODE_0001075
hCoV-19/Russia/AD-RII-MH2738S/2020|EPI_ISL_602417|2020-09-17|1	Russia/AD-RII-MH2738S/2020	2020-09-17	NA	NA	Russia	Adygea	B.1.1	NA	Республика Адыгея	NODE_0032613
hCoV-19/Russia/ALT-RII-MH2761S/2020|EPI_ISL_602434|2020-09-22|1	Russia/ALT-RII-MH2761S/2020	2020-09-22	NA	NA	Russia	Altai Krai	B.1.1.31	NA	Алтайский край	NODE_0032648
hCoV-19/Russia/ALT-RII-MH2762S/2020|EPI_ISL_602435|2020-09-26|1	Russia/ALT-RII-MH2762S/2020	2020-09-26	NA	NA	Russia	Altai Krai	B.1.1.184	NA	Алтайский край	NODE_0021336
hCoV-19/Russia/ALT-RII-MH2764S/2020|EPI_ISL_602436|2020-09-25|1	Russia/ALT-RII-MH2764S/2020	2020-09-25	NA	NA	Russia	Altai Krai	B.1.1	NA	Алтайский край	NODE_0029698
hCoV-19/Russia/ALT-RII-MH2765S/2020|EPI_ISL_602437|2020-09-26|1	Russia/ALT-RII-MH2765S/2020	2020-09-26	NA	NA	Russia	Altai Krai	B.1.1.*	NA	Алтайский край	NODE_0022905
hCoV-19/Russia/AMU-RII-MH10129S/2020|EPI_ISL_733459|2020-11-16|1	Russia/AMU-RII-MH10129S/2020	2020-11-16	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0036076
hCoV-19/Russia/AMU-RII-MH10143S/2020|EPI_ISL_733460|2020-11-19|1	Russia/AMU-RII-MH10143S/2020	2020-11-19	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0033299
hCoV-19/Russia/AMU-RII-MH10147S/2020|EPI_ISL_733461|2020-11-19|1	Russia/AMU-RII-MH10147S/2020	2020-11-19	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0020937
hCoV-19/Russia/AMU-RII-MH10154S/2020|EPI_ISL_733462|2020-11-20|1	Russia/AMU-RII-MH10154S/2020	2020-11-20	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0015583
hCoV-19/Russia/AMU-RII-MH10159S/2020|EPI_ISL_733463|2020-11-23|1	Russia/AMU-RII-MH10159S/2020	2020-11-23	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0032635
hCoV-19/Russia/AMU-RII-MH10160S/2020|EPI_ISL_733464|2020-11-19|1	Russia/AMU-RII-MH10160S/2020	2020-11-19	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0015551
hCoV-19/Russia/AMU-RII-MH10166S/2020|EPI_ISL_733465|2020-11-23|1	Russia/AMU-RII-MH10166S/2020	2020-11-23	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0036076
hCoV-19/Russia/AMU-RII-MH10170S/2020|EPI_ISL_733466|2020-11-28|1	Russia/AMU-RII-MH10170S/2020	2020-11-28	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0015679
hCoV-19/Russia/AMU-RII-MH10177S/2020|EPI_ISL_733467|2020-11-26|1	Russia/AMU-RII-MH10177S/2020	2020-11-26	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0039551
hCoV-19/Russia/AMU-RII-MH10185S/2020|EPI_ISL_733468|2020-11-20|1	Russia/AMU-RII-MH10185S/2020	2020-11-20	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0039551
hCoV-19/Russia/AMU-RII-MH10186S/2020|EPI_ISL_733469|2020-11-25|1	Russia/AMU-RII-MH10186S/2020	2020-11-25	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	single_seq
hCoV-19/Russia/AMU-RII-MH10192S/2020|EPI_ISL_733470|2020-11-23|1	Russia/AMU-RII-MH10192S/2020	2020-11-23	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0015679
hCoV-19/Russia/AMU-RII-MH10197S/2020|EPI_ISL_733471|2020-11-23|1	Russia/AMU-RII-MH10197S/2020	2020-11-23	NA	NA	Russia	Amur Region	B.1.1	NA	Амурская область	NODE_0015583
hCoV-19/Russia/AMU-RII-MH10201S/2020|EPI_ISL_733472|2020-11-20|1	Russia/AMU-RII-MH10201S/2020	2020-11-20	NA	NA	Russia	Amur Region	B.1.1.*	NA	Амурская область	NODE_0033087
