old_label,label,date
hCoV-19/UnitedArabEmirates/L4280/2020|EPI_ISL_435134|2020-02-08|12,hCoV-19/UnitedArabEmirates/L4280/2020|EPI_ISL_435134|2020-02-08|12,2020-02-08
hCoV-19/USA/CA-CDC-8/2020|EPI_ISL_411955|2020-02-10|137,hCoV-19/USA/CA-CDC-8/2020|EPI_ISL_411955|2020-02-10|137,2020-02-10
hCoV-19/Singapore/3/2020|EPI_ISL_407988|2020-02-01|1,hCoV-19/Singapore/3/2020|EPI_ISL_407988|2020-02-01|1,2020-02-01
hCoV-19/Ireland/CO-NVRL-20134/2020|EPI_ISL_414487|2020-03-04|1,hCoV-19/Ireland/CO-NVRL-20134/2020|EPI_ISL_414487|2020-03-04|1,2020-03-04
hCoV-19/Germany/BW-UKT-a118/2020|EPI_ISL_723090|2020-03-23|1,hCoV-19/Germany/BW-UKT-a118/2020|EPI_ISL_723090|2020-03-23|1,2020-03-23
hCoV-19/Thailand/61/2020|EPI_ISL_403962|2020-01-08|7,hCoV-19/Thailand/61/2020|EPI_ISL_403962|2020-01-08|7,2020-01-08
hCoV-19/Malaysia/MKAK-CL-2020-5047/2020|EPI_ISL_416866|2020-01-24|8,hCoV-19/Malaysia/MKAK-CL-2020-5047/2020|EPI_ISL_416866|2020-01-24|8,2020-01-24
hCoV-19/Switzerland/BS-UHB-42189866/2020|EPI_ISL_528055|2020-03-13|1,hCoV-19/Switzerland/BS-UHB-42189866/2020|EPI_ISL_528055|2020-03-13|1,2020-03-13
hCoV-19/Iceland/447/2020|EPI_ISL_424471|2020-03-20|1,hCoV-19/Iceland/447/2020|EPI_ISL_424471|2020-03-20|1,2020-03-20
hCoV-19/India/TG-CCMB-J300/2020|EPI_ISL_458080|2020-04-03|1,hCoV-19/India/TG-CCMB-J300/2020|EPI_ISL_458080|2020-04-03|1,2020-04-03
hCoV-19/Taiwan/CGMH-CGU-01/2020|EPI_ISL_411915|2020-01-25|5,hCoV-19/Taiwan/CGMH-CGU-01/2020|EPI_ISL_411915|2020-01-25|5,2020-01-25
